stationName,lat,lon
AR-Slu,-33.4648,-66.4598
AR-Vir,-28.2395,-56.1886
AT-Neu,47.1167,11.3175
AU-Ade,-13.0769,131.1178
AU-ASM,-22.283,133.249
AU-Cpr,-34.0021,140.5891
AU-Cum,-33.6133,150.7225
AU-DaP,-14.0633,131.3181
AU-DaS,-14.1593,131.3881
AU-Dry,-15.2588,132.3706
AU-Emr,-23.8587,148.4746
AU-Fog,-12.5452,131.3072
AU-Gin,-31.3764,115.7138
AU-GWW,-30.1913,120.6541
AU-How,-12.4943,131.1523
AU-Lox,-34.4704,140.6551
AU-RDF,-14.5636,132.4776
AU-Rig,-36.6499,145.5759
AU-Rob,-17.1175,145.6301
AU-Stp,-17.1507,133.3502
AU-TTE,-22.287,133.64
AU-Tum,-35.6566,148.1517
AU-Wac,-37.4259,145.1878
AU-Whr,-36.6732,145.0294
AU-Wom,-37.4222,144.0944
AU-Ync,-34.9893,146.2907
BE-Bra,51.3092,4.5206
BE-Lon,50.5516,4.7461
BE-Vie,50.3051,5.9981
BR-Sa3,-3.018,-54.9714
CA-Man,55.8796,-98.4808
CA-NS1,55.8792,-98.4839
CA-NS2,55.9058,-98.5247
CA-NS3,55.9117,-98.3822
CA-NS4,55.9144,-98.3806
CA-NS5,55.8631,-98.485
CA-NS6,55.9167,-98.9644
CA-NS7,56.6358,-99.9483
CA-Qfo,49.6925,-74.3421
CA-SF1,54.485,-105.8176
CA-SF2,54.2539,-105.8775
CA-SF3,54.0916,-106.0053
CH-Cha,47.2102,8.4104
CH-Dav,46.8153,9.8559
CH-Fru,47.1158,8.5378
CH-Lae,47.4781,8.365
CH-Oe1,47.2858,7.7319
CH-Oe2,47.2863,7.7343
CN-Cha,42.4025,128.0958
CN-Cng,44.5934,123.5092
CN-Dan,30.4978,91.0664
CN-Din,23.1733,112.5361
CN-Du2,42.0467,116.2836
CN-Ha2,37.6086,101.3269
CN-HaM,37.37,101.18
CN-Qia,26.7414,115.0581
CN-Sw2,41.7902,111.8971
CZ-Bk1,49.5021,18.5369
CZ-Bk2,49.4944,18.5429
CZ-wet,49.0247,14.7704
DE-Akm,53.8662,13.6834
DE-Geb,51.1001,10.9143
DE-Gri,50.9495,13.5125
DE-Hai,51.0792,10.453
DE-Kli,50.8929,13.5225
DE-Lkb,49.0996,13.3047
DE-Obe,50.7836,13.7196
DE-RuR,50.6219,6.3041
De-RuS,50.8659,6.4472
DE-S eh,50.8706,6.4497
DE-SfN,47.8064,11.3275
DE-Spw,51.8923,14.0337
DE-Tha,50.9636,13.5669
DK-Fou,56.4842,9.5872
DK-NuF,64.1308,-51.3861
DK-Sor,55.4859,11.6446
DK-ZaF,74.4814,-20.5545
DK-ZaH,74.4732,-20.5503
ES-LgS,37.0979,-2.9658
ES-Ln2,36.9695,-3.4758
FI-Hyy,61.8475,24.295
FI-Jok,60.8986,23.5135
FI-Lom,67.9972,24.2092
FI-Sod,67.3619,26.6378
FR-Fron,48.4764,2.7801
FR-Gri,48.8442,1.9519
FR-LBr,44.7171,-0.7693
FR-Pue,43.7414,3.5958
GF-Guy,5.2788,-52.9249
IT-Bci,40.5238,14.9574
IT-CA1,42.3804,12.0266
IT-CA2,42.3772,12.026
IT-CA3,42.38,12.0222
IT-Col,41.8494,13.5881
IT-Cp2,41.7043,12.3573
IT-Cpz,41.7052,12.3761
IT-Isp,45.8126,8.6336
IT-La2,45.9542,11.2853
IT-Lav,45.9562,11.2813
IT-MBo,46.0147,11.0458
IT-Noe,40.6061,8.1515
IT-PT1,45.2009,9.061
IT-Ren,46.5869,11.4337
IT-Ro1,42.4081,11.93
IT-Ro2,42.3903,11.9209
IT-SR2,43.732,10.291
IT-SRo,43.7279,10.2844
IT-Tor,45.8444,7.5781
JP-MBF,44.3869,142.3186
JP-SMF,35.2617,137.0788
NL-Hor,52.2404,5.0713
NL-Loo,52.1666,5.7436
NO-Adv,78.186,15.923
NO-Blv,78.9216,11.8311
RU-Che,68.613,161.3414
RU-Cok,70.8291,147.4943
RU-Fyo,56.4615,32.9221
RU-Ha1,54.7252,90.0022
SD-Dem,13.2829,30.4783
SN-Dhr,15.4028,-15.4322
US-AR1,36.4267,-99.42
US-AR2,36.6358,-99.5975
US-ARb,35.5497,-98.0402
US-ARc,35.5465,-98.04
US-ARM,36.6058,-97.4888
US-Blo,38.8953,-120.6328
US-Cop,38.09,-109.39
US-GBT,41.3658,-106.2397
US-GLE,41.3665,-106.2399
US-Ha1,42.5378,-72.1715
US-KS2,28.6086,-80.6715
US-Los,46.0827,-89.9792
US-Me1,44.5794,-121.5
US-Me2,44.4523,-121.5574
US-Me6,44.3233,-121.6078
US-MMS,39.3232,-86.4131
US-Myb,38.0498,-121.7651
US-Ne1,41.1651,-96.4766
US-Ne2,41.1649,-96.4701
US-Ne3,41.1797,-96.4397
US-NR1,40.0329,-105.5464
US-ORv,40.0201,-83.0183
US-PFa,45.9459,-90.2723
US-Prr,65.1237,-147.4876
US-SRG,31.7894,-110.8277
US-SRM,31.8214,-110.8661
US-Syv,46.242,-89.3477
US-Ton,38.4316,-120.966
US-Tw1,38.1074,-121.6469
US-Tw2,38.1047,-121.6433
US-Tw3,38.1047,-121.6433
US-Tw3,38.1159,-121.6467
US-Tw4,38.103,-121.6414
US-Twt,38.1087,-121.653
US-UMB,45.5598,-84.7138
US-UMd,45.5625,-84.6975
US-Var,38.4133,-120.9507
US-WCr,45.8059,-90.0799
US-Whs,31.7438,-110.0522
US-Wi0,46.6188,-91.0814
US-Wi3,46.6347,-91.0987
US-Wi4,46.7393,-91.1663
US-Wi6,46.6249,-91.2982
US-Wi9,46.6188,-91.0814
US-Wkg,31.7365,-109.9419
ZA-Kru,-25.0197,31.4969
ZM-Mon,-15.4378,23.2528
